Sugar GRN,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_i3,I3,IPC,weight_i3_ipc,path_length
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940620628957,27,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940631884883,26,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940624064295,25,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940632436307,25,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940618694827,17,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940614623455,17,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940611254681,13,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940622457579,16,11,720575940613845516,720575940614623455,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940622457579,16,11,720575940613845516,720575940620628957,7,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940632436307,62,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940620628957,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940611254681,18,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940614623455,9,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940631309866,720575940611254681,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940643539566,53,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940628199802,34,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940611254681,33,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940618694827,22,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940624064295,21,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940631884883,20,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940632436307,6,4
