pre,post,weight,pre_group,post_group,pre_x,post_x,weight_x,pre_y,post_y,weight_y
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940620625880,6
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940642312136,5
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940624007207,6,720575940624007207,720575940627921182,5
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940621257340,9
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940632512156,9
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940620625880,8
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940627921182,6
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940620625880,13
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940632512156,8
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637861294,5,720575940637861294,720575940642312136,7
720575940631082124,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940631082124,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940631082124,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940625696601,720575940620553094,21,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940625696601,720575940620553094,21,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940625696601,720575940620553094,21,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940621698542,21,720575940621698542,720575940620625880,9
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637861294,8,720575940637861294,720575940642312136,7
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940620625880,13
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940632512156,8
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940624007207,5,720575940624007207,720575940627921182,5
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940621257340,9
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940632512156,9
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940620625880,8
720575940638813016,720575940616759014,20,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940627921182,6
720575940626016017,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940626016017,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940626016017,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940638218173,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940638218173,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940638218173,720575940614635175,20,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940627438906,720575940620553094,20,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
