root_id,group
720575941431296649,ORN
720575941431309304,ORN
720575941431339951,ORN
720575941431353775,ORN
720575941431354465,ORN
720575941431388041,ORN
720575941431412183,ORN
720575941431443704,ORN
720575941431491576,ORN
720575941431498744,ORN
720575941431521889,ORN
720575941431530593,ORN
720575941431582345,ORN
720575941431662217,ORN
720575941431720952,ORN
720575941432037473,ORN
720575941432083593,ORN
720575941432083849,ORN
720575941432205838,ORN
720575941432222734,ORN
720575941432238606,ORN
720575941432246286,ORN
720575941432254222,ORN
720575941432374743,ORN
720575941432403375,ORN
720575941432410721,ORN
720575941432429015,ORN
720575941432437719,ORN
720575941432439137,ORN
720575941432453513,ORN
720575941432459768,ORN
720575941432484567,ORN
720575941432488111,ORN
720575941432513967,ORN
720575941432582136,ORN
720575941432587695,ORN
720575941432588536,ORN
720575941432591791,ORN
720575941432596183,ORN
720575941432611721,ORN
720575941432815118,ORN
720575941432830817,ORN
720575941433250401,ORN
720575941433534222,ORN
720575941433536014,ORN
720575941433537806,ORN
720575941433583146,ORN
720575941433621719,ORN
720575941434033166,ORN
720575941434305038,ORN
720575941434323982,ORN
720575941434468110,ORN
720575941435022624,ORN
720575941435381134,ORN
720575941435437344,ORN
720575941435540768,ORN
720575941435810702,ORN
720575941435837070,ORN
720575941435848846,ORN
720575941435926560,ORN
720575941436071456,ORN
720575941436163360,ORN
720575941436168992,ORN
720575941436208160,ORN
720575941436217632,ORN
720575941436743566,ORN
720575941437251858,ORN
720575941437352992,ORN
720575941437367840,ORN
720575941437583392,ORN
720575941437598738,ORN
720575941437906194,ORN
720575941438082834,ORN
720575941438730770,ORN
720575941438746175,ORN
720575941438758930,ORN
720575941438968338,ORN
720575941439057964,ORN
720575941439099615,ORN
720575941439133202,ORN
720575941439222335,ORN
720575941439262783,ORN
720575941439400021,ORN
720575941439406677,ORN
720575941439418197,ORN
720575941439434837,ORN
720575941439562815,ORN
720575941439575871,ORN
720575941439596255,ORN
720575941439610412,ORN
720575941439671570,ORN
720575941439685183,ORN
720575941439705663,ORN
720575941439761493,ORN
720575941439800287,ORN
720575941439858517,ORN
720575941439875628,ORN
720575941439888172,ORN
720575941439947564,ORN
720575941439996460,ORN
720575941440408287,ORN
720575941440479829,ORN
720575941440481503,ORN
720575941440502101,ORN
720575941440592981,ORN
720575941440669013,ORN
720575941440799455,ORN
720575941440892507,ORN
720575941440955359,ORN
720575941440956639,ORN
720575941441016015,ORN
720575941441017567,ORN
720575941441020623,ORN
720575941441231701,ORN
720575941441316047,ORN
720575941441460927,ORN
720575941441463381,ORN
720575941441484991,ORN
720575941441494107,ORN
720575941441505983,ORN
720575941441512277,ORN
720575941441556053,ORN
720575941441744219,ORN
720575941441773147,ORN
720575941441811291,ORN
720575941441846479,ORN
720575941441854555,ORN
720575941442098267,ORN
720575941442180559,ORN
720575941442227663,ORN
720575941442476495,ORN
720575941442489023,ORN
720575941442497727,ORN
720575941442503119,ORN
720575941442526415,ORN
720575941442550479,ORN
720575941442558399,ORN
720575941442658751,ORN
720575941442661823,ORN
720575941442840923,ORN
720575941442851419,ORN
720575941443386319,ORN
720575941443391695,ORN
720575941444283050,ORN
720575941444451754,ORN
720575941444502442,ORN
720575941444696746,ORN
720575941444981674,ORN
720575941445037994,ORN
720575941445062570,ORN
720575941445156522,ORN
720575941445429162,ORN
720575941446172074,ORN
720575941446334122,ORN
720575941447396116,ORN
720575941447481620,ORN
720575941447738900,ORN
720575941448045844,ORN
720575941448192276,ORN
720575941448791733,ORN
720575941448795061,ORN
720575941448826037,ORN
720575941448837813,ORN
720575941448841397,ORN
720575941449130933,ORN
720575941449169172,ORN
720575941449235381,ORN
720575941449241364,ORN
720575941449241620,ORN
720575941449243668,ORN
720575941449355869,ORN
720575941449357405,ORN
720575941449548125,ORN
720575941449561693,ORN
720575941449696078,ORN
720575941449707086,ORN
720575941449715534,ORN
720575941449902517,ORN
720575941449953870,ORN
720575941449957045,ORN
720575941450023349,ORN
720575941450049117,ORN
720575941450095453,ORN
720575941450197853,ORN
720575941450253749,ORN
720575941450296925,ORN
720575941450297693,ORN
720575941450331229,ORN
720575941450334301,ORN
720575941450518606,ORN
720575941450768718,ORN
720575941450912590,ORN
720575941450914126,ORN
720575941450924366,ORN
720575941450925902,ORN
720575941450932061,ORN
720575941450932917,ORN
720575941450973533,ORN
720575941451044986,ORN
720575941451049082,ORN
720575941451060090,ORN
720575941451126965,ORN
720575941451129013,ORN
720575941451129269,ORN
720575941451129781,ORN
720575941451133365,ORN
720575941451282781,ORN
720575941451288925,ORN
720575941451299933,ORN
720575941451321210,ORN
720575941451338333,ORN
720575941451338589,ORN
720575941451361373,ORN
720575941451531642,ORN
720575941451537274,ORN
720575941451891322,ORN
720575941451947598,ORN
720575941451967815,ORN
720575941452057257,ORN
720575941452078158,ORN
720575941452078414,ORN
720575941452135290,ORN
720575941452168570,ORN
720575941452361287,ORN
720575941452872058,ORN
720575941452990535,ORN
720575941452995655,ORN
720575941453235322,ORN
720575941453238906,ORN
720575941453242746,ORN
720575941453333161,ORN
720575941453374889,ORN
720575941453381033,ORN
720575941453537449,ORN
720575941453785671,ORN
720575941453787207,ORN
720575941454003763,ORN
720575941454069063,ORN
720575941454077511,ORN
720575941454224199,ORN
720575941454228551,ORN
720575941454376007,ORN
720575941454637993,ORN
720575941454641065,ORN
720575941454657961,ORN
720575941454722985,ORN
720575941454727219,ORN
720575941454848563,ORN
720575941455065907,ORN
720575941455375411,ORN
720575941455777331,ORN
720575941456025581,ORN
720575941456072243,ORN
720575941456185581,ORN
720575941456239341,ORN
720575941456701677,ORN
720575941456791789,ORN
720575941456844269,ORN
720575941456886509,ORN
720575941457219053,ORN
720575941457951725,ORN
720575941457954797,ORN
720575941458019053,ORN
720575941458070000,ORN
720575941458100464,ORN
720575941458136813,ORN
720575941458137325,ORN
720575941458139629,ORN
720575941458140397,ORN
720575941458196383,ORN
720575941458205933,ORN
720575941458207469,ORN
720575941458537887,ORN
720575941458978207,ORN
720575941458990918,ORN
720575941459177119,ORN
720575941459354015,ORN
720575941459354271,ORN
720575941459364767,ORN
720575941459419718,ORN
720575941459528351,ORN
720575941459921619,ORN
720575941459981382,ORN
720575941460031046,ORN
720575941460044447,ORN
720575941460154352,ORN
720575941460163910,ORN
720575941460291824,ORN
720575941460316831,ORN
720575941460404127,ORN
720575941460490399,ORN
