from,to,weight,from_group,to_group
720575940626146125,720575940650527222,11,hop 2 acetylcholine interneuron,IPCs
720575940626146125,720575940622897639,6,hop 2 acetylcholine interneuron,IPCs
720575940615686841,720575940615043112,7,hop 3 gaba interneuron,IPCs
720575940615686841,720575940620628957,5,hop 3 gaba interneuron,IPCs
720575940624795962,720575940643539566,11,hop 3 glutamate interneuron,IPCs
720575940624795962,720575940615043112,6,hop 3 glutamate interneuron,IPCs
720575940624795962,720575940625379859,5,hop 3 glutamate interneuron,IPCs
720575940613845516,720575940628363820,7,hop 3 gaba interneuron,IPCs
720575940613845516,720575940623081400,5,hop 3 gaba interneuron,IPCs
720575940632412828,720575940615043112,5,hop 3 acetylcholine interneuron,IPCs
720575940605030316,720575940615043112,5,hop 3 dopamine interneuron,IPCs
720575940626518474,720575940615911380,6,hop 3 gaba interneuron,IPCs
720575940626518474,720575940628199802,5,hop 3 gaba interneuron,IPCs
720575940614950194,720575940628363820,9,hop 3 acetylcholine interneuron,IPCs
720575940615871967,720575940643539566,9,hop 3 serotonin interneuron,IPCs
720575940615871967,720575940618694827,6,hop 3 serotonin interneuron,IPCs
720575940615871967,720575940612923390,5,hop 3 serotonin interneuron,IPCs
720575940630349905,720575940615911380,9,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940625379859,8,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940615043112,5,hop 3 acetylcholine interneuron,IPCs
720575940638517181,720575940624064295,5,hop 3 glutamate interneuron,IPCs
720575940624454221,720575940622897639,12,hop 3 acetylcholine interneuron,IPCs
720575940624454221,720575940650527222,6,hop 3 acetylcholine interneuron,IPCs
720575940625053773,720575940603765280,5,hop 3 serotonin interneuron,IPCs
720575940637572324,720575940620628957,9,hop 3 acetylcholine interneuron,IPCs
720575940615686841,720575940612923390,6,hop 3 gaba interneuron,IPCs
720575940608174894,720575940612923390,16,hop 3 gaba interneuron,IPCs
720575940608174894,720575940631884883,8,hop 3 gaba interneuron,IPCs
720575940637572324,720575940622897639,8,hop 3 acetylcholine interneuron,IPCs
720575940629026668,720575940614623455,9,hop 3 gaba interneuron,IPCs
720575940631969325,720575940618694827,6,hop 3 gaba interneuron,IPCs
720575940631969325,720575940628199802,6,hop 3 gaba interneuron,IPCs
720575940631969325,720575940643539566,5,hop 3 gaba interneuron,IPCs
720575940623741795,720575940614623455,5,hop 3 gaba interneuron,IPCs
720575940608174894,720575940625379859,16,hop 3 gaba interneuron,IPCs
720575940608174894,720575940615911380,16,hop 3 gaba interneuron,IPCs
720575940608174894,720575940618694827,7,hop 3 gaba interneuron,IPCs
720575940608174894,720575940628199802,5,hop 3 gaba interneuron,IPCs
720575940608174894,720575940643539566,5,hop 3 gaba interneuron,IPCs
720575940615871967,720575940615911380,6,hop 3 serotonin interneuron,IPCs
720575940627492866,720575940650527222,11,hop 2 acetylcholine interneuron,IPCs
720575940627492866,720575940603765280,10,hop 2 acetylcholine interneuron,IPCs
720575940627492866,720575940623081400,5,hop 2 acetylcholine interneuron,IPCs
720575940622587018,720575940650527222,9,hop 2 glutamate interneuron,IPCs
720575940622587018,720575940628363820,6,hop 2 glutamate interneuron,IPCs
720575940622587018,720575940603765280,5,hop 2 glutamate interneuron,IPCs
720575940624535554,720575940611254681,7,hop 3 acetylcholine interneuron,IPCs
720575940624535554,720575940632436307,7,hop 3 acetylcholine interneuron,IPCs
720575940624535554,720575940612923390,6,hop 3 acetylcholine interneuron,IPCs
720575940624535554,720575940624064295,6,hop 3 acetylcholine interneuron,IPCs
720575940622536179,720575940620628957,5,hop 3 acetylcholine interneuron,IPCs
720575940618413295,720575940620628957,7,hop 3 acetylcholine interneuron,IPCs
720575940618413295,720575940612923390,5,hop 3 acetylcholine interneuron,IPCs
720575940617779029,720575940632436307,5,hop 3 acetylcholine interneuron,IPCs
720575940621602743,720575940632436307,5,hop 3 glutamate interneuron,IPCs
720575940606720265,720575940612923390,5,hop 3 acetylcholine interneuron,IPCs
720575940628038187,720575940612923390,5,hop 3 acetylcholine interneuron,IPCs
720575940645882420,720575940612923390,6,hop 3 acetylcholine interneuron,IPCs
720575940645882420,720575940624064295,6,hop 3 acetylcholine interneuron,IPCs
720575940622119861,720575940632436307,6,hop 3 acetylcholine interneuron,IPCs
720575940638302909,720575940603765280,5,hop 3 acetylcholine interneuron,IPCs
720575940613845516,720575940650527222,13,hop 3 gaba interneuron,IPCs
720575940613845516,720575940603765280,11,hop 3 gaba interneuron,IPCs
720575940613845516,720575940622897639,8,hop 3 gaba interneuron,IPCs
720575940633304601,720575940650527222,51,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940622897639,45,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940603765280,45,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940623081400,23,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940628363820,18,hop 3 glutamate interneuron,IPCs
720575940620691327,720575940650527222,9,hop 3 glutamate interneuron,IPCs
720575940620691327,720575940628363820,9,hop 3 glutamate interneuron,IPCs
720575940609625442,720575940622897639,10,hop 3 glutamate interneuron,IPCs
720575940609625442,720575940650527222,9,hop 3 glutamate interneuron,IPCs
720575940609625442,720575940603765280,9,hop 3 glutamate interneuron,IPCs
720575940609625442,720575940623081400,7,hop 3 glutamate interneuron,IPCs
720575940609625442,720575940628363820,6,hop 3 glutamate interneuron,IPCs
720575940617261908,720575940603765280,5,hop 3 gaba interneuron,IPCs
720575940637763150,720575940650527222,7,hop 3 glutamate interneuron,IPCs
720575940637763150,720575940623081400,7,hop 3 glutamate interneuron,IPCs
720575940637763150,720575940622897639,6,hop 3 glutamate interneuron,IPCs
720575940637763150,720575940628363820,5,hop 3 glutamate interneuron,IPCs
720575940618595046,720575940615043112,6,hop 3 acetylcholine interneuron,IPCs
720575940615686841,720575940603765280,8,hop 3 gaba interneuron,IPCs
720575940615686841,720575940622897639,7,hop 3 gaba interneuron,IPCs
720575940615686841,720575940650527222,6,hop 3 gaba interneuron,IPCs
720575940610384281,720575940632436307,10,hop 3 glutamate interneuron,IPCs
720575940621942021,720575940632436307,23,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940611254681,22,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940618694827,16,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940643539566,16,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940628199802,13,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940620628957,11,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940612923390,9,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940614623455,9,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940624064295,7,hop 3 acetylcholine interneuron,IPCs
720575940621942021,720575940631884883,5,hop 3 acetylcholine interneuron,IPCs
720575940619093163,720575940643539566,6,hop 3 glutamate interneuron,IPCs
720575940619093163,720575940628199802,5,hop 3 glutamate interneuron,IPCs
720575940606137632,720575940611254681,24,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940632436307,23,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940612923390,20,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940628199802,18,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940643539566,16,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940620628957,16,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940618694827,14,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940614623455,13,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940631884883,11,hop 3 acetylcholine interneuron,IPCs
720575940606137632,720575940624064295,11,hop 3 acetylcholine interneuron,IPCs
720575940624608442,720575940628363820,6,hop 3 acetylcholine interneuron,IPCs
720575940624608442,720575940603765280,5,hop 3 acetylcholine interneuron,IPCs
720575940624535554,720575940615043112,9,hop 3 acetylcholine interneuron,IPCs
720575940622536179,720575940603765280,15,hop 3 acetylcholine interneuron,IPCs
720575940622536179,720575940628363820,7,hop 3 acetylcholine interneuron,IPCs
720575940618413295,720575940622897639,10,hop 3 acetylcholine interneuron,IPCs
720575940618413295,720575940603765280,8,hop 3 acetylcholine interneuron,IPCs
720575940618413295,720575940615043112,7,hop 3 acetylcholine interneuron,IPCs
720575940617779029,720575940615043112,7,hop 3 acetylcholine interneuron,IPCs
720575940604332460,720575940603765280,13,hop 3 acetylcholine interneuron,IPCs
720575940621602743,720575940603765280,5,hop 3 glutamate interneuron,IPCs
720575940628038187,720575940615043112,6,hop 3 acetylcholine interneuron,IPCs
720575940645882420,720575940615043112,10,hop 3 acetylcholine interneuron,IPCs
720575940625766531,720575940631884883,6,hop 3 glutamate interneuron,IPCs
720575940631327021,720575940612923390,9,hop 3 acetylcholine interneuron,IPCs
720575940624987394,720575940603765280,7,hop 3 glutamate interneuron,IPCs
720575940628866242,720575940628199802,7,hop 3 acetylcholine interneuron,IPCs
