pre,post,weight
720575940626190794,720575940640872923,20
720575940630342364,720575940621257340,20
720575940620122503,720575940621257340,14
720575940617406548,720575940640872923,13
720575940623079095,720575940642312136,13
720575940637686750,720575940632512156,13
720575940626617914,720575940632512156,12
720575940620122503,720575940640872923,11
720575940624247787,720575940621257340,10
720575940622495401,720575940640872923,9
720575940628351217,720575940632512156,9
720575940637878854,720575940632512156,9
720575940637878854,720575940621257340,9
720575940617406548,720575940632512156,8
720575940629013199,720575940642312136,8
720575940637878854,720575940640872923,8
720575940616127931,720575940640872923,8
720575940604395436,720575940621257340,7
720575940621569635,720575940642312136,7
720575940604516524,720575940640872923,7
720575940632603548,720575940642312136,7
720575940626446850,720575940621257340,7
720575940626446850,720575940613316783,7
720575940620038433,720575940613316783,6
720575940627110824,720575940632512156,6
720575940637878854,720575940613316783,6
720575940604395436,720575940640872923,6
720575940613511987,720575940642312136,5
720575940604395436,720575940642312136,5
720575940622319715,720575940613316783,5
720575940617898456,720575940642312136,5
720575940631486765,720575940640872923,5
720575940628771587,720575940632512156,5
