pre_root_id,post_root_id,nt_type,syn_count
720575940614211295,720575940614635175,ACH,64
720575940614211295,720575940616759014,ACH,5
720575940614211295,720575940617671285,ACH,48
720575940614211295,720575940619034782,ACH,6
720575940614211295,720575940620553094,ACH,69
720575940614211295,720575940624079544,ACH,23
720575940614211295,720575940628198503,ACH,13
720575940614211295,720575940635642725,ACH,7
720575940614211295,720575940637956698,ACH,15
720575940614635175,720575940635807130,GABA,15
720575940614635175,720575940637686750,GABA,24
720575940615626018,720575940627921182,GABA,5
720575940616127931,720575940620625880,ACH,8
720575940616187754,720575940620625880,ACH,31
720575940616187754,720575940632512156,ACH,12
720575940616404820,720575940642495176,GLUT,5
720575940616759014,720575940605040300,ACH,6
720575940616759014,720575940617406548,ACH,8
720575940616759014,720575940621698542,ACH,29
720575940616759014,720575940633926295,ACH,43
720575940616759014,720575940637861294,ACH,8
720575940616759014,720575940637878854,ACH,6
720575940617299515,720575940629013199,ACH,19
720575940617406548,720575940620625880,ACH,16
720575940617406548,720575940632512156,ACH,9
720575940617539355,720575940629013199,GABA,8
720575940617539355,720575940631275601,GABA,63
720575940617671285,720575940604395436,ACH,12
720575940617671285,720575940616187754,ACH,7
720575940617671285,720575940617406548,ACH,9
720575940617671285,720575940620157787,ACH,7
720575940617671285,720575940621698542,ACH,50
720575940617671285,720575940623393357,ACH,5
720575940617671285,720575940624007207,ACH,7
720575940617671285,720575940624247787,ACH,5
720575940617671285,720575940631371991,ACH,9
720575940617671285,720575940633926295,ACH,31
720575940617671285,720575940637861294,ACH,5
720575940617671285,720575940637878854,ACH,6
720575940617898456,720575940642312136,GABA,6
720575940619034782,720575940624247787,GLUT,34
720575940620038433,720575940627921182,GABA,8
720575940620122503,720575940620625880,ACH,16
720575940620122503,720575940621257340,ACH,22
720575940620157787,720575940620625880,GLUT,6
720575940620445062,720575940620625880,ACH,5
720575940620445062,720575940624247787,ACH,127
720575940620553094,720575940623079095,GABA,5
720575940620553094,720575940635807130,GABA,19
720575940620553094,720575940637686750,GABA,19
720575940620670657,720575940620625880,ACH,15
720575940621375231,720575940614128691,ACH,11
720575940621375231,720575940614635175,ACH,34
720575940621375231,720575940617671285,ACH,16
720575940621375231,720575940620553094,ACH,44
720575940621375231,720575940627444490,ACH,5
720575940621375231,720575940628198503,ACH,7
720575940621375231,720575940628683063,ACH,13
720575940621375231,720575940631082124,ACH,31
720575940621375231,720575940634090777,ACH,5
720575940621375231,720575940638218173,ACH,32
720575940621698542,720575940620625880,ACH,9
720575940621898665,720575940614635175,ACH,41
720575940621898665,720575940617299515,ACH,8
720575940621898665,720575940620553094,ACH,33
720575940621898665,720575940623507273,ACH,11
720575940621898665,720575940624928284,ACH,7
720575940622151704,720575940621257340,ACH,5
720575940622319715,720575940627921182,GLUT,7
720575940622335197,720575940629013199,ACH,20
720575940622495401,720575940620625880,ACH,13
720575940622695448,720575940635807130,GABA,6
720575940623079095,720575940642312136,GABA,16
720575940623207885,720575940629013199,ACH,21
720575940623207885,720575940631275601,ACH,6
720575940623207885,720575940649812857,ACH,7
720575940623393357,720575940620625880,GLUT,5
720575940623393357,720575940621257340,GLUT,9
720575940623507273,720575940624247787,GLUT,34
720575940623507273,720575940637686750,GLUT,5
720575940623696362,720575940616127931,GABA,40
720575940623696362,720575940629861163,GABA,6
720575940624007207,720575940627921182,GLUT,5
720575940624079544,720575940604891360,ACH,9
720575940624079544,720575940614635175,ACH,65
720575940624079544,720575940617671285,ACH,39
720575940624079544,720575940620553094,ACH,58
720575940624079544,720575940629861163,ACH,6
720575940624079544,720575940637956698,ACH,27
720575940624247787,720575940621257340,GLUT,7
720575940624266061,720575940615626018,ACH,14
720575940624266061,720575940617898456,ACH,24
720575940624266061,720575940620038433,ACH,10
720575940624928284,720575940637686750,GABA,11
720575940625005239,720575940620625880,GABA,50
720575940625310014,720575940636990064,ACH,19
720575940625450498,720575940611411057,ACH,8
720575940625450498,720575940614635175,ACH,53
720575940625450498,720575940616759014,ACH,32
720575940625450498,720575940617299515,ACH,20
720575940625450498,720575940620553094,ACH,44
720575940625450498,720575940623507273,ACH,10
720575940625696601,720575940614635175,ACH,28
720575940625696601,720575940616759014,ACH,37
720575940625696601,720575940617671285,ACH,5
720575940625696601,720575940620553094,ACH,37
720575940625696601,720575940623207885,ACH,20
720575940625696601,720575940624266061,ACH,6
720575940625696601,720575940626941080,ACH,8
720575940626016017,720575940614128691,ACH,16
720575940626016017,720575940614635175,ACH,37
720575940626016017,720575940617671285,ACH,9
720575940626016017,720575940620553094,ACH,52
720575940626016017,720575940628198503,ACH,9
720575940626016017,720575940628683063,ACH,14
720575940626016017,720575940631082124,ACH,14
720575940626016017,720575940634090777,ACH,11
720575940626016017,720575940635642725,ACH,9
720575940626016017,720575940638218173,ACH,18
720575940626132030,720575940621257340,GLUT,6
720575940626617914,720575940632512156,GLUT,11
720575940626622339,720575940632556831,GABA,7
720575940626941080,720575940608471900,GABA,17
720575940626941080,720575940617898456,GABA,12
720575940626941080,720575940623079095,GABA,12
720575940626941080,720575940632603548,GABA,6
720575940627110824,720575940632512156,ACH,6
720575940627402568,720575940611411057,ACH,7
720575940627402568,720575940614635175,ACH,68
720575940627402568,720575940616759014,ACH,37
720575940627402568,720575940617671285,ACH,7
720575940627402568,720575940620553094,ACH,71
720575940627402568,720575940623207885,ACH,6
720575940627402568,720575940625310014,ACH,10
720575940627438906,720575940614635175,ACH,34
720575940627438906,720575940616759014,ACH,17
720575940627438906,720575940617299515,ACH,26
720575940627438906,720575940620553094,ACH,37
720575940627438906,720575940622695448,ACH,6
720575940627438906,720575940623507273,ACH,8
720575940627438906,720575940637763135,ACH,5
720575940627438906,720575940641284853,ACH,5
720575940627438906,720575940645503854,ACH,5
720575940627444490,720575940616127931,GABA,7
720575940627444490,720575940620670657,GABA,5
720575940627444490,720575940630546540,GABA,5
720575940628198503,720575940604891360,ACH,6
720575940628198503,720575940610956334,ACH,6
720575940628198503,720575940614635175,ACH,60
720575940628198503,720575940616759014,ACH,5
720575940628198503,720575940617671285,ACH,28
720575940628198503,720575940620553094,ACH,45
720575940628198503,720575940629861163,ACH,8
720575940628198503,720575940637956698,ACH,31
720575940628683063,720575940622319715,ACH,6
720575940628771587,720575940632512156,GLUT,5
720575940629013199,720575940632512156,GABA,47
720575940629013199,720575940642312136,GABA,10
720575940629861163,720575940604395436,GABA,10
720575940629861163,720575940612490958,GABA,166
720575940629861163,720575940620625880,GABA,70
720575940629861163,720575940621257340,GABA,21
720575940629861163,720575940627921182,GABA,11
720575940630546540,720575940620625880,ACH,8
720575940630606444,720575940642312136,GABA,46
720575940631082124,720575940614128691,ACH,22
720575940631082124,720575940614635175,ACH,33
720575940631082124,720575940617671285,ACH,18
720575940631082124,720575940620553094,ACH,27
720575940631082124,720575940629861163,ACH,7
720575940631082124,720575940637956698,ACH,6
720575940631275601,720575940632512156,ACH,5
720575940631371991,720575940621257340,GLUT,7
720575940631371991,720575940627921182,GLUT,8
720575940631486765,720575940620625880,GLUT,8
720575940632556831,720575940621257340,ACH,11
720575940632603548,720575940642312136,GABA,11
720575940633926295,720575940632512156,ACH,5
720575940634090777,720575940635807130,GABA,16
720575940635210859,720575940635807130,SER,6
720575940635642725,720575940612708374,GABA,37
720575940635642725,720575940620157787,GABA,6
720575940635642725,720575940622495401,GABA,61
720575940635642725,720575940624247787,GABA,5
720575940635642725,720575940627110824,GABA,45
720575940635642725,720575940631486765,GABA,6
720575940635642725,720575940647473796,GABA,9
720575940635807130,720575940620625880,GABA,27
720575940635807130,720575940627921182,GABA,7
720575940636990064,720575940627921182,DA,5
720575940637686750,720575940632512156,GABA,14
720575940637747519,720575940614635175,ACH,57
720575940637747519,720575940616759014,ACH,31
720575940637747519,720575940620553094,ACH,46
720575940637747519,720575940622335197,ACH,6
720575940637747519,720575940625310014,ACH,13
720575940637763135,720575940637686750,GABA,21
720575940637861294,720575940642312136,GLUT,12
720575940637878854,720575940620625880,ACH,9
720575940637878854,720575940621257340,ACH,9
720575940637878854,720575940627921182,ACH,6
720575940637878854,720575940632512156,ACH,13
720575940637878854,720575940642312136,ACH,5
720575940637956698,720575940604395436,ACH,5
720575940637956698,720575940612490958,ACH,10
720575940637956698,720575940620157787,ACH,7
720575940637956698,720575940622151704,ACH,11
720575940638218173,720575940610956334,ACH,5
720575940638218173,720575940614128691,ACH,18
720575940638218173,720575940614635175,ACH,34
720575940638218173,720575940617671285,ACH,16
720575940638218173,720575940619034782,ACH,7
720575940638218173,720575940620445062,ACH,5
720575940638218173,720575940620553094,ACH,48
720575940638218173,720575940623696362,ACH,8
720575940638218173,720575940624079544,ACH,9
720575940638218173,720575940631082124,ACH,42
720575940638218173,720575940634090777,ACH,7
720575940638218173,720575940635210859,ACH,6
720575940638813016,720575940614635175,ACH,45
720575940638813016,720575940616404820,ACH,13
720575940638813016,720575940616759014,ACH,35
720575940638813016,720575940617539355,ACH,7
720575940638813016,720575940620553094,ACH,37
720575940638813016,720575940623207885,ACH,19
720575940638813016,720575940624266061,ACH,7
720575940638813016,720575940626622339,ACH,6
720575940641284853,720575940608471900,GLUT,30
720575940641284853,720575940617898456,GLUT,5
720575940641284853,720575940629013199,GLUT,108
720575940641284853,720575940631275601,GLUT,25
720575940641284853,720575940637686750,GLUT,5
720575940642335373,720575940616127931,GABA,5
720575940642495176,720575940632512156,ACH,5
720575940643065032,720575940611411057,ACH,10
720575940643065032,720575940614635175,ACH,66
720575940643065032,720575940616759014,ACH,38
720575940643065032,720575940620553094,ACH,60
720575940643065032,720575940625310014,ACH,9
720575940645503854,720575940629013199,ACH,17
720575940647473796,720575940627921182,GABA,51
720575940649812857,720575940620625880,ACH,7
720575940649812857,720575940621257340,ACH,9
